date,region,sales_rep,product,deal_stage,deal_size,units_sold,unit_price,revenue,month,month_name,quarter,day_of_week,is_won,revenue_per_unit
2023-11-24,East,Frank,Hardware,Closed Won,Medium,11,14309.61,157405.71,11,Nov,4,Friday,1,14309.61
2023-02-27,West,Grace,Support Package,Closed Won,Small,5,5267.93,26339.65,2,Feb,1,Monday,1,5267.93
2023-01-13,North,Alice,Training,Closed Won,Medium,13,10103.55,131346.15,1,Jan,1,Friday,1,10103.55
2023-05-21,East,Alice,Software Liscense,Closed Won,Small,5,11401.46,57007.3,5,May,2,Sunday,1,11401.46
2023-05-06,East,Alice,Training,Closed Lost,Medium,13,12273.22,0.0,5,May,2,Saturday,0,0.0
2023-04-25,West,Eva,Software Liscense,Closed Won,Small,6,14213.37,85280.22,4,Apr,2,Tuesday,1,14213.37
2023-03-13,North,David,Consulting,Closed Lost,Small,5,5037.33,0.0,3,Mar,1,Monday,0,0.0
2023-02-22,North,Eva,Software Liscense,Closed Won,Large,9,12948.34,116535.06,2,Feb,1,Wednesday,1,12948.34
2023-12-13,East,David,Hardware,Closed Lost,Medium,16,2409.46,0.0,12,Dec,4,Wednesday,0,0.0
2023-10-07,South,Henry,Support Package,Closed Won,Small,2,10723.09,21446.18,10,Oct,4,Saturday,1,10723.09
2023-02-14,East,Eva,Software License,Closed Won,Small,1,11258.68,11258.68,2,Feb,1,Tuesday,1,11258.68
2023-10-30,East,Eva,Software Liscense,Closed Won,Large,8,10326.99,82615.92,10,Oct,4,Monday,1,10326.99
2023-08-05,East,Frank,Training,Closed Lost,Small,19,4158.56,0.0,8,Aug,3,Saturday,0,0.0
2023-01-17,East,Carol,Software License,Closed Lost,Small,11,13159.13,0.0,1,Jan,1,Tuesday,0,0.0
2023-01-16,West,Eva,Consulting,Closed Lost,Small,12,2948.45,0.0,1,Jan,1,Monday,0,0.0
2023-02-17,North,Frank,Software Liscense,Closed Won,Small,12,1277.7,15332.4,2,Feb,1,Friday,1,1277.7
2023-04-22,Unknown,Bob,Consulting,Closed Won,Medium,7,10903.24,76322.68,4,Apr,2,Saturday,1,10903.24
2023-04-30,West,Carol,Training,Closed Won,Medium,13,7394.4,96127.2,4,Apr,2,Sunday,1,7394.4
2023-09-16,West,Henry,Consulting,Closed Won,Small,8,12811.92,102495.36,9,Sep,3,Saturday,1,12811.92
2023-11-05,East,Eva,Training,Closed Won,Medium,9,6059.26,54533.34,11,Nov,4,Sunday,1,6059.26
2023-01-14,Unknown,Grace,Software Liscense,Closed Lost,Small,7,2940.04,0.0,1,Jan,1,Saturday,0,0.0
2023-10-15,North,Alice,Support Package,Closed Lost,Large,15,12628.41,0.0,10,Oct,4,Sunday,0,0.0
2023-04-12,South,Bob,Consulting,Closed Lost,Large,2,7411.74,0.0,4,Apr,2,Wednesday,0,0.0
2023-11-29,West,Bob,Support Package,Closed Lost,Small,12,3243.34,0.0,11,Nov,4,Wednesday,0,0.0
2023-12-26,West,Henry,Training,Closed Won,Large,1,10945.57,10945.57,12,Dec,4,Tuesday,1,10945.57
2023-10-07,South,Frank,Consulting,Closed Won,Medium,8,7911.15,63289.2,10,Oct,4,Saturday,1,7911.15
2023-08-03,South,Bob,Hardware,Closed Won,Small,5,9262.54,46312.7,8,Aug,3,Thursday,1,9262.54
2023-04-23,South,Carol,Support Package,Closed Lost,Small,15,7183.03,0.0,4,Apr,2,Sunday,0,0.0
2023-08-18,West,Eva,Consulting,Closed Won,Small,1,12516.28,12516.28,8,Aug,3,Friday,1,12516.28
2023-10-29,West,Eva,Support Package,Closed Won,Medium,1,12528.66,12528.66,10,Oct,4,Sunday,1,12528.66
2023-05-23,North,Grace,Consulting,Closed Won,Large,10,10786.14,107861.4,5,May,2,Tuesday,1,10786.14
2023-01-04,North,Henry,Software Liscense,Closed Won,Medium,10,2028.32,20283.2,1,Jan,1,Wednesday,1,2028.32
2023-03-23,West,Alice,Support Package,Closed Lost,Large,15,12663.38,0.0,3,Mar,1,Thursday,0,0.0
2023-12-24,South,Frank,Hardware,Closed Lost,Medium,17,10229.69,0.0,12,Dec,4,Sunday,0,0.0
2023-08-05,South,Alice,Hardware,Closed Won,Medium,6,10606.85,63641.1,8,Aug,3,Saturday,1,10606.85
2023-06-24,North,Bob,Training,Closed Lost,Medium,3,5763.25,0.0,6,Jun,2,Saturday,0,0.0
2023-05-23,West,Henry,Consulting,Closed Lost,Small,13,13249.55,0.0,5,May,2,Tuesday,0,0.0
2023-03-21,North,Grace,Support Package,Closed Won,Medium,16,11017.89,176286.24,3,Mar,1,Tuesday,1,11017.89
2023-04-21,North,Alice,Training,Closed Won,Medium,8,2132.56,17060.48,4,Apr,2,Friday,1,2132.56
2023-06-22,Unknown,Carol,Support Package,Closed Won,Small,15,6412.78,96191.7,6,Jun,2,Thursday,1,6412.78
